"Country Name","Country Code","Indicator Name","Indicator Code","Sector Name","Sector Code",Attribute,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,
"Switzerland","146","International Trade, share of general government","it","Central Government","CG","Value",,,,,,,,,,,,,,,,,,,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",,
"Switzerland","146","International Trade, share of general government","it","Subnational Government","SNG","Value","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,
"Switzerland","146","Other Taxes, share of general government","ot","Local Government","LG","Value",,,,,,,,,,,,,,,,,,,"0.739835540734967","0.789731457604333","0.825043296670825","0.807011185411659","0.791354516422824","0.786282325750533","0.80114982062447","0.802976234510071","0.803302895441028","0.802996838210965","0.822891211197394","0.814325084695089","0.825008427539421","0.829540134488133","0.821939999462158","0.790080145212767","0.803616105812854","0.82681678715173","0.913371301489163","0.926929284758598","0.937618259562838","0.935179196771088","0.86598225851143","0.798946780321632","0.722331180888997","0.715657378514153","0.658494033123703",,
"Switzerland","146","Other Taxes, share of general government","ot","Central Government","CG","Value",,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0743884176220408",,
"Switzerland","146","Other Taxes, share of general government","ot","Subnational Government","SNG","Value",,,,,,,,,,,,,,,,,,,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.925611582377959",,
"Bosnia and Herzegovina","963","Vertical Fiscal Imbalance (1- ratio of own revenue to own spending)","vfi","Subnational Government","SNG","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0400429618927519","0.116143709918163","0.134324903477607","0.184338167450947","0.129274492805699","0.128311931052139","0.0682637894938746","0.161194103741368","0.0744386409985841","0.0662167126558599","-0.0446138230088302","-0.00851736564201278",,
"Bosnia and Herzegovina","963","Compensation of employees, share of general government","comp","Local Government","LG","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.123155473294568","0.117098343499332","0.116261360004481","0.118885328711109","0.116270578262322","0.115707428898003","0.123334027357512","0.117620136445591","0.121710954620473","0.121196525256166","0.122364004201528","0.126747361088057",,
"Austria","122","Tax revenue decentralization (ratio of taxes to general government taxes)","taxd","State Government","SG","Value","0.115197568389057","0.112742807556237","0.117077363896848","0.117573244585084","0.119556571883078","0.118451229932095","0.117139334155363","0.117324811686829","0.116064157490352","0.120535424904388","0.122873108557795","0.123027078441281","0.123630461247126","0.155088607594937","0.156794677081073","0.156566013718973","0.128719143833292","0.127497808939527","0.126323475721066","0.126735367012653","0.123582843873788","0.122962815140025","0.128397825391749","0.0190567695330881","0.0178811845558698","0.0169824256467906","0.0176563838186637","0.0174249766278727","0.0168362226798403","0.0155546294755377","0.0161782197835602","0.0166706492322065","0.0168251141378886","0.0171268918276637","0.0172885703161931","0.016856698189208","0.0168941942655582","0.01790654448138","0.0180840299255019","0.0177155987018383","0.0179225969404945","0.0177675484476837","0.017818677030033","0.0173479709597207","0.0184374537392718",,
"Austria","122","Tax revenue decentralization (ratio of taxes to general government taxes)","taxd","Local Government","LG","Value","0.191641337386018","0.185301381750217","0.18945558739255","0.196846527361013","0.196112547226088","0.191977335072176","0.187422934648582","0.185155596134825","0.185603512374748","0.184643806313606","0.182802787718968","0.182593704485331","0.178493169214122","0.186936708860759","0.188110219136472","0.187704782782925","0.179808584293051","0.185451358457493","0.183379984584804","0.186310865959786","0.183888813003688","0.179721279850995","0.189622641509434","0.0596697482557253","0.0560504895230719","0.0541954404130233","0.0528946861145023","0.0526417228063136","0.0491683260464013","0.0419969647192549","0.042920909694502","0.0435708387374289","0.0435050390451944","0.0438189419686206","0.0441277463639806","0.0433234334732399","0.0427768088787809","0.0449305526803775","0.0449749236839083","0.044602609783585","0.0445171253625173","0.0444347090683822","0.0444943799634387","0.0428956340769973","0.0448118409282796",,
"Austria","122","Tax revenue decentralization (ratio of taxes to general government taxes)","taxd","Subnational Government","SNG","Value","0.306838905775075","0.298044189306454","0.306532951289398","0.314419771946097","0.315669119109167","0.310428565004271","0.304562268803945","0.302480407821654","0.3016676698651","0.305179231217995","0.305675896276763","0.305620782926612","0.302123630461248","0.342025316455696","0.344904896217545","0.344270796501898","0.308527728126343","0.31294916739702","0.30970346030587","0.313046232972439","0.307471656877476","0.30268409499102","0.318020466901183","0.0787265177888134","0.0739316740789417","0.0711778660598139","0.070551069933166","0.0700666994341864","0.0660045487262416","0.0575515941947925","0.0590991294780622","0.0602414879696354","0.0603301531830831","0.0609458337962843","0.0614163166801737","0.0601801316624479","0.0596710031443391","0.0628370971617575","0.0630589536094101","0.0623182084854233","0.0624397223030117","0.0622022575160659","0.0623130569934717","0.060243605036718","0.0632492946675514",,
